Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Fee,Swap,Profit
2026.06.22 00:19:38,5881,XAUUSD,buy,in,0.22,4 155.710,4643,0.00,0.00,0.00,0.00
2026.06.22 00:19:38,5882,XAUUSD,buy,in,0.33,4 155.710,4644,0.00,0.00,0.00,0.00
2026.06.22 00:19:48,5886,XAUUSD,sell,out,0.55,4 154.705,4731,0.00,0.00,0.00,- 55.27
2026.06.22 00:22:54,5981,XAUUSD,sell,in,0.18,4 157.825,4789,0.00,0.00,0.00,0.00
2026.06.22 00:22:54,5982,XAUUSD,sell,in,0.28,4 157.825,4790,0.00,0.00,0.00,0.00
2026.06.22 00:22:59,5988,XAUUSD,buy,out,0.46,4 158.615,4811,0.00,0.00,0.00,- 36.34
2026.06.22 01:27:42,9452,GBPUSD,sell,in,1, 1.32162,7265,0.00,0.00,0.00,0.00
2026.06.22 01:27:42,9453,GBPUSD,sell,in,0.45, 1.32161,7265,0.00,0.00,0.00,0.00
2026.06.22 01:27:42,9454,GBPUSD,sell,in,1, 1.32161,7266,0.00,0.00,0.00,0.00
2026.06.22 01:27:42,9455,GBPUSD,sell,in,1.19, 1.32161,7266,0.00,0.00,0.00,0.00
2026.06.22 01:55:49,10445,GBPUSD,buy,out,1, 1.32188,7951,0.00,0.00,0.00,- 26.73
2026.06.22 01:55:49,10446,GBPUSD,buy,out,2.64, 1.32189,7951,0.00,0.00,0.00,- 73.19
2026.06.22 01:55:55,10447,EURCHF,sell,in,1, 0.92662,7672,0.00,0.00,0.00,0.00
2026.06.22 01:55:55,10448,EURCHF,sell,in,0.01342, 0.92662,7672,0.00,0.00,0.00,0.00
2026.06.22 01:55:55,10449,EURCHF,sell,in,0.01324, 0.92662,7673,0.00,0.00,0.00,0.00
2026.06.22 02:00:00,10572,USDCAD,buy,in,1, 1.41716,7870,0.00,0.00,0.00,0.00
2026.06.22 02:00:00,10573,USDCAD,buy,in,0.03032, 1.41717,7870,0.00,0.00,0.00,0.00
2026.06.22 02:00:00,10575,USDCAD,buy,in,0.01619, 1.41716,7871,0.00,0.00,0.00,0.00
2026.06.22 02:00:03,10576,EURCHF,buy,out,1, 0.92628,8025,0.00,0.00,0.00, 42.09
2026.06.22 02:00:03,10577,EURCHF,buy,out,0.02, 0.92631,8025,0.00,0.00,0.00, 0.77
2026.06.22 02:21:44,11414,USDCAD,sell,out,1, 1.41750,8296,0.00,0.00,0.00, 23.96
2026.06.22 02:21:44,11415,USDCAD,sell,out,0.03794, 1.41750,8296,0.00,0.00,0.00, 0.91
2026.06.22 02:21:44,11416,USDCAD,sell,in/out,0.02206, 1.41750,8297,0.00,0.00,0.00, 0.20
2026.06.22 02:37:05,11977,EURCHF,sell,in,0.57243, 0.92645,8556,0.00,0.00,0.00,0.00
2026.06.22 02:37:05,11978,EURCHF,sell,in,0.01491, 0.92645,8557,0.00,0.00,0.00,0.00
2026.06.22 02:58:11,12624,USDCAD,buy,out,0.01, 1.41793,9412,0.00,0.00,0.00,- 0.30
2026.06.22 03:07:55,13007,EURCHF,buy,out,0.59, 0.92609,9677,0.00,0.00,0.00, 26.43
2026.06.22 03:34:33,14013,GBPUSD,sell,in,1, 1.32250,10192,0.00,0.00,0.00,0.00
2026.06.22 03:34:33,14014,GBPUSD,sell,in,1, 1.32251,10192,0.00,0.00,0.00,0.00
2026.06.22 03:34:33,14015,GBPUSD,sell,in,0.18, 1.32250,10192,0.00,0.00,0.00,0.00
2026.06.22 03:34:33,14016,GBPUSD,sell,in,3.27, 1.32250,10193,0.00,0.00,0.00,0.00
2026.06.22 04:34:47,15882,GBPUSD,buy,out,1, 1.32204,17290,0.00,0.00,0.00, 46.18
2026.06.22 04:34:47,15883,GBPUSD,buy,out,4.45, 1.32206,17290,0.00,0.00,0.00, 196.62
2026.06.22 04:36:31,15934,GBPUSD,buy,in,1, 1.32196,10369,0.00,0.00,0.00,0.00
2026.06.22 04:36:31,15935,GBPUSD,buy,in,1.54, 1.32197,10369,0.00,0.00,0.00,0.00
2026.06.22 04:36:31,15936,GBPUSD,buy,in,1, 1.32196,10370,0.00,0.00,0.00,0.00
2026.06.22 04:36:31,15937,GBPUSD,buy,in,2.82, 1.32197,10370,0.00,0.00,0.00,0.00
2026.06.22 04:37:12,15965,USDCAD,sell,in,1, 1.41836,13330,0.00,0.00,0.00,0.00
2026.06.22 04:37:17,15966,USDCAD,sell,in,1, 1.41837,13330,0.00,0.00,0.00,0.00
2026.06.22 04:37:22,15969,USDCAD,sell,in,0.54, 1.41837,13330,0.00,0.00,0.00,0.00
2026.06.22 04:37:22,15970,USDCAD,sell,in,0.46, 1.41837,13337,0.00,0.00,0.00,0.00
2026.06.22 04:37:27,15971,USDCAD,sell,in,1, 1.41837,13337,0.00,0.00,0.00,0.00
